job_url,skill
https://himalayas.app/companies/alpaca/jobs/data-analyst,NumPy
https://himalayas.app/companies/improvado/jobs/middle-marketing-data-analyst-agency-expereince,SQL
https://himalayas.app/companies/improvado/jobs/middle-marketing-data-analyst-agency-expereince,Power BI
https://himalayas.app/companies/improvado/jobs/middle-marketing-data-analyst-agency-expereince,Tableau
https://himalayas.app/companies/improvado/jobs/middle-marketing-data-analyst-agency-expereince,R
https://himalayas.app/companies/improvado/jobs/middle-marketing-data-analyst-agency-expereince,Git
https://himalayas.app/companies/improvado/jobs/middle-marketing-data-analyst-agency-expereince,Docker
https://himalayas.app/companies/stio/jobs/data-analyst,SQL
https://himalayas.app/companies/stio/jobs/data-analyst,Python
https://himalayas.app/companies/stio/jobs/data-analyst,Excel
https://himalayas.app/companies/stio/jobs/data-analyst,Power BI
https://himalayas.app/companies/stio/jobs/data-analyst,Tableau
https://himalayas.app/companies/stio/jobs/data-analyst,R
https://himalayas.app/companies/stio/jobs/data-analyst,Snowflake
https://himalayas.app/companies/stio/jobs/data-analyst,Git
https://himalayas.app/companies/panterra-global-ltd/jobs/data-operations-associate-opinion-research,Python
https://himalayas.app/companies/panterra-global-ltd/jobs/data-operations-associate-opinion-research,Excel
https://himalayas.app/companies/panterra-global-ltd/jobs/data-operations-associate-opinion-research,Power BI
https://himalayas.app/companies/panterra-global-ltd/jobs/data-operations-associate-opinion-research,Tableau
https://himalayas.app/companies/panterra-global-ltd/jobs/data-operations-associate-opinion-research,R
https://himalayas.app/companies/panterra-global-ltd/jobs/data-operations-associate-opinion-research,Statistics
https://himalayas.app/companies/kultremedia-llc/jobs/km-business-analyst,Excel
https://himalayas.app/companies/kultremedia-llc/jobs/km-business-analyst,Tableau
https://himalayas.app/companies/netomi/jobs/senior-data-analyst,SQL
https://himalayas.app/companies/netomi/jobs/senior-data-analyst,Python
https://himalayas.app/companies/netomi/jobs/senior-data-analyst,Power BI
https://himalayas.app/companies/netomi/jobs/senior-data-analyst,Tableau
https://himalayas.app/companies/netomi/jobs/senior-data-analyst,Machine Learning
https://himalayas.app/companies/9amhealth/jobs/senior-data-analyst,SQL
https://himalayas.app/companies/9amhealth/jobs/senior-data-analyst,Python
https://himalayas.app/companies/phase2/jobs/senior-data-analyst,SQL
https://himalayas.app/companies/phase2/jobs/senior-data-analyst,Python
https://himalayas.app/companies/phase2/jobs/senior-data-analyst,Power BI
https://himalayas.app/companies/phase2/jobs/senior-data-analyst,Tableau
https://himalayas.app/companies/phase2/jobs/senior-data-analyst,R
https://himalayas.app/companies/phase2/jobs/senior-data-analyst,Snowflake
https://himalayas.app/companies/phase2/jobs/senior-data-analyst,Machine Learning
https://himalayas.app/companies/alter-solutions/jobs/analityk-biznesowy-st,SQL
https://himalayas.app/companies/alter-solutions/jobs/analityk-biznesowy-st,Python
https://himalayas.app/companies/alter-solutions/jobs/analityk-biznesowy-st,Excel
https://himalayas.app/companies/alter-solutions/jobs/analityk-biznesowy-st,Power BI
https://himalayas.app/companies/kraftheinz/jobs/sales-analyst-amazon,Excel
https://himalayas.app/companies/capgemini-technology-services/jobs/fbs-data-marketing-analyst-mid-level,SQL
https://himalayas.app/companies/capgemini-technology-services/jobs/fbs-data-marketing-analyst-mid-level,Excel
https://himalayas.app/companies/capgemini-technology-services/jobs/fbs-data-marketing-analyst-mid-level,Power BI
https://himalayas.app/companies/nextgen-healthcare/jobs/data-analyst-ii,SQL
https://himalayas.app/companies/nextgen-healthcare/jobs/data-analyst-ii,Excel
https://himalayas.app/companies/nextgen-healthcare/jobs/data-analyst-ii,Power BI
https://himalayas.app/companies/nextgen-healthcare/jobs/data-analyst-ii,Tableau
https://himalayas.app/companies/nextgen-healthcare/jobs/data-analyst-ii,Statistics
https://himalayas.app/companies/work-mercor/jobs/data-analyst-upto-100-hr-part-time,SQL
https://himalayas.app/companies/work-mercor/jobs/data-analyst-upto-100-hr-part-time,Tableau
https://himalayas.app/companies/keyrus/jobs/data-analyst-pl-sr,SQL
https://himalayas.app/companies/keyrus/jobs/data-analyst-pl-sr,Excel
https://himalayas.app/companies/keyrus/jobs/data-analyst-pl-sr,Power BI
https://himalayas.app/companies/keyrus/jobs/data-analyst-pl-sr,AWS
https://himalayas.app/companies/monocle-solutions/jobs/data-analyst-banking,SQL
https://himalayas.app/companies/monocle-solutions/jobs/data-analyst-banking,Python
https://himalayas.app/companies/monocle-solutions/jobs/data-analyst-banking,Power BI
https://himalayas.app/companies/nearsource-technologies/jobs/senior-data-analyst-sql-power-bi-looker,SQL
https://himalayas.app/companies/nearsource-technologies/jobs/senior-data-analyst-sql-power-bi-looker,Python
https://himalayas.app/companies/nearsource-technologies/jobs/senior-data-analyst-sql-power-bi-looker,Power BI
https://himalayas.app/companies/nearsource-technologies/jobs/senior-data-analyst-sql-power-bi-looker,R
https://himalayas.app/companies/nearsource-technologies/jobs/senior-data-analyst-sql-power-bi-looker,Snowflake
https://himalayas.app/companies/nearsource-technologies/jobs/senior-data-analyst-sql-power-bi-looker,AWS
https://himalayas.app/companies/nearsource-technologies/jobs/senior-data-analyst-sql-power-bi-looker,Azure
https://himalayas.app/companies/nearsource-technologies/jobs/senior-data-analyst-sql-power-bi-looker,Statistics
https://himalayas.app/companies/kmc-solutions-inc/jobs/xtn-bd54531-senior-data-analyst,SQL
https://himalayas.app/companies/kmc-solutions-inc/jobs/xtn-bd54531-senior-data-analyst,Python
https://himalayas.app/companies/kmc-solutions-inc/jobs/xtn-bd54531-senior-data-analyst,Excel
https://himalayas.app/companies/kmc-solutions-inc/jobs/xtn-bd54531-senior-data-analyst,Tableau
https://himalayas.app/companies/ryz-labs/jobs/sr-data-analyst,SQL
https://himalayas.app/companies/ryz-labs/jobs/sr-data-analyst,Python
https://himalayas.app/companies/ryz-labs/jobs/sr-data-analyst,Tableau
https://himalayas.app/companies/ryz-labs/jobs/sr-data-analyst,R
https://himalayas.app/companies/ryz-labs/jobs/sr-data-analyst,Snowflake
https://himalayas.app/companies/ryz-labs/jobs/sr-data-analyst,Machine Learning
https://himalayas.app/companies/ryz-labs/jobs/sr-data-analyst,Statistics
https://himalayas.app/companies/resident/jobs/product-analyst,SQL
https://himalayas.app/companies/resident/jobs/product-analyst,Python
https://himalayas.app/companies/resident/jobs/product-analyst,Power BI
https://himalayas.app/companies/resident/jobs/product-analyst,Tableau
https://himalayas.app/companies/resident/jobs/product-analyst,R
https://himalayas.app/companies/resident/jobs/product-analyst,Statistics
https://himalayas.app/companies/monzo/jobs/senior-data-analyst-financial-health,SQL
https://himalayas.app/companies/monzo/jobs/senior-data-analyst-financial-health,Python
https://himalayas.app/companies/monzo/jobs/senior-data-analyst-financial-health,AWS
https://himalayas.app/companies/monzo/jobs/senior-data-analyst-financial-health,Google Cloud
https://himalayas.app/companies/ministry-of-education/jobs/principal-analyst,SQL
https://himalayas.app/companies/ministry-of-education/jobs/principal-analyst,R
https://himalayas.app/companies/ministry-of-education/jobs/principal-analyst,Statistics
https://himalayas.app/companies/lodgify/jobs/senior-data-analyst,SQL
https://himalayas.app/companies/lodgify/jobs/senior-data-analyst,Python
https://himalayas.app/companies/lodgify/jobs/senior-data-analyst,Power BI
https://himalayas.app/companies/lodgify/jobs/senior-data-analyst,Snowflake
https://himalayas.app/companies/yipitdata/jobs/data-product-analyst-corporate,SQL
https://himalayas.app/companies/yipitdata/jobs/data-product-analyst-corporate,Python
https://himalayas.app/companies/lodgify/jobs/senior-growth-data-analyst,SQL
https://himalayas.app/companies/lodgify/jobs/senior-growth-data-analyst,Python
https://himalayas.app/companies/lodgify/jobs/senior-growth-data-analyst,Power BI
https://himalayas.app/companies/lodgify/jobs/senior-growth-data-analyst,Snowflake
https://himalayas.app/companies/kmc-solutions-inc/jobs/xtn-78ee376-data-analyst-bi-experience,Excel
https://himalayas.app/companies/kmc-solutions-inc/jobs/xtn-78ee376-data-analyst-bi-experience,Tableau
https://himalayas.app/companies/lean-tech/jobs/mid-reporting-analyst,Power BI
https://himalayas.app/companies/lean-tech/jobs/mid-reporting-analyst,ETL
https://himalayas.app/companies/highmark-health/jobs/senior-data-analyst-2305570923,SQL
https://himalayas.app/companies/highmark-health/jobs/senior-data-analyst-2305570923,Power BI
https://himalayas.app/companies/highmark-health/jobs/senior-data-analyst-2305570923,ETL
https://himalayas.app/companies/jobs-for-humanity/jobs/data-analyst,SQL
https://himalayas.app/companies/jobs-for-humanity/jobs/data-analyst,Power BI
https://himalayas.app/companies/jobs-for-humanity/jobs/data-analyst,Tableau
https://himalayas.app/companies/valce-talent-solutions/jobs/data-analyst-programmer,SQL
https://himalayas.app/companies/valce-talent-solutions/jobs/data-analyst-programmer,Power BI
https://himalayas.app/companies/valce-talent-solutions/jobs/data-analyst-programmer,Azure
https://himalayas.app/companies/home-depot-u-s-a-inc/jobs/sr-analyst-insights-and-analytics,SQL
https://himalayas.app/companies/home-depot-u-s-a-inc/jobs/sr-analyst-insights-and-analytics,Excel
https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/senior-data-analyst,SQL
https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/senior-data-analyst,Python
https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/senior-data-analyst,Excel
